Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Funding Status,Investor Names
Seed Round - Abacum,https://www.crunchbase.com/funding_round/abacum-seed--d36b27e7,Abacum,https://www.crunchbase.com/organization/abacum,Seed,7000000,USD,7000000,2021-04-08,,,,Abacum is a SaaS that helps finance teams deliver business insights.,"Information Technology, SaaS, Software","San Francisco, California, United States, North America",https://abacum.io,,Seed,"Avi Meir, Creandum, Jenny Bloom, Justin Kan, K Fund, Maximilian Tayenthal, Mike Asher, PROfounders Capital, Thomas Lehrman, Y Combinator"
Series A - CrowdAI,https://www.crunchbase.com/funding_round/crowdai-series-a--7310fcea,CrowdAI,https://www.crunchbase.com/organization/crowdai,Series A,6250000,USD,6250000,2021-04-08,,,,"CrowdAI empowers organizations to create and deploy custom models for visual AI, in a simple, code-free platform.","Artificial Intelligence, Computer Vision, Geospatial, Image Recognition, Machine Learning","San Francisco, California, United States, North America",https://crowdai.com/,Less than $1M,Early Stage Venture,"Jerry Yang, Susa Ventures, SV Angel, Threshold, Y Combinator"
Series B - CaptivateIQ,https://www.crunchbase.com/funding_round/captivateiq-series-b--380160c5,CaptivateIQ,https://www.crunchbase.com/organization/captivateiq,Series B,46000000,USD,46000000,2021-04-07,,,,CaptivateIQ is a modern sales compensation software aimed to help businesses leverage the power of incentives to motivate teams.,"Internet, Sales, Software","San Francisco, California, United States, North America",https://www.captivateiq.com,Less than $1M,Early Stage Venture,"Accel, Amity Ventures, S28 Capital, Sequoia Capital, Y Combinator"
Seed Round - ZOKO,https://www.crunchbase.com/funding_round/zoko-seed--91f9ab51,ZOKO,https://www.crunchbase.com/organization/zoko,Seed,102000000,INR,1393371,2021-03-31,,,,"ZOKO connects business to Whatsapp and Facebook Messenger for sending notifications, marketing and conversational commerce.","E-Commerce, Information Technology, Software","Bengaluru, Karnataka, India, Asia",https://www.zoko.io/,,Seed,"021 Capital, Anas Rahman Junaid, Weekend Fund, Y Combinator"
Seed Round - Kredi,https://www.crunchbase.com/funding_round/kredi-seed--d108c272,Kredi,https://www.crunchbase.com/organization/kredi,Seed,3000000,USD,3000000,2021-03-30,,,,Rocket Mortgage for LatAm,"Financial Services, FinTech","Monterrey, Nuevo Leon, Mexico, North America",https://www.kredi.mx/,,Seed,"Angel Investor, Emles Venture Partners, First Check Ventures, Harvard Management Company, Jonathan Lewy, Leonis Investissement, Liquid 2 Ventures, Louis Beryl, Y Combinator"
Seed Round - Tyltgo,https://www.crunchbase.com/funding_round/tyltgo-seed--8b3b35d0,Tyltgo,https://www.crunchbase.com/organization/tyltgo,Seed,2300000,CAD,1826545,2021-03-29,,,,"Tyltgo provides courier, logistics, supply chain management, and delivery services for small businesses and enterprises.","Delivery Service, Logistics, Supply Chain Management","Kitchener, Ontario, Canada, North America",https://www.tyltgo.com/,Less than $1M,Seed,"Charlie Songhurst, TI Platform Management, Y Combinator"
Seed Round - Homebase,https://www.crunchbase.com/funding_round/homebase-ad4c-seed--f1319105,Homebase,https://www.crunchbase.com/organization/homebase-ad4c,Seed,125000,USD,125000,2021-03-26,,,,"Homebase is a real estate technology company that provides innovative rent-to-own home financing for buyers in Southeast Asia, starting with Vietnam. Homebase offers the only alternative to inflexible, high-interest rate mortgages in the region.",,"Singapore, Central Region, Singapore, Asia",http://homebase.com.vn/,,Seed,Y Combinator
Series A - Middesk,https://www.crunchbase.com/funding_round/middesk-series-a--0380f40e,Middesk,https://www.crunchbase.com/organization/middesk,Series A,16000000,USD,16000000,2021-03-24,,,,A modern infrastructure to establish trust between every business.,"Information Technology, Internet, Risk Management","San Francisco, California, United States, North America",http://www.middesk.com,$1M to $10M,Early Stage Venture,"Accel, Sequoia Capital, Y Combinator"
Seed Round - Prospa,https://www.crunchbase.com/funding_round/prospa-60e4-seed--5d2e37df,Prospa,https://www.crunchbase.com/organization/prospa-60e4,Seed,125000,USD,125000,2021-03-24,,,,Prospa is building a neobank for small companies in Nigeria.,"Apps, Banking","Lagos, Lagos, Nigeria, Africa",https://www.getprospa.com/,,Seed,Y Combinator
Seed Round - Sendbox,https://www.crunchbase.com/funding_round/sendbox-seed--0845d716,Sendbox,https://www.crunchbase.com/organization/sendbox,Seed,125000,USD,125000,2021-03-24,,,,Infrastructure for peer-to-peer social commerce,"E-Commerce, E-Commerce Platforms, Shipping","Lagos, Lagos, Nigeria, Africa",https://sendbox.co/,,Seed,Y Combinator
Series A - Asher Bio,https://www.crunchbase.com/funding_round/asher-bio-series-a--6480ddef,Asher Bio,https://www.crunchbase.com/organization/asher-bio,Series A,55000000,USD,55000000,2021-03-23,,,,Asher Bio is a biotechnology company that specializes in the fields of therapeutics builds better immunotherapy for cancer.,"Biotechnology, Therapeutics","San Francisco, California, United States, North America",https://www.asherbio.com/,,Early Stage Venture,"Boxer Capital, Invus, MBC BioLabs, Third Rock Ventures, Y Combinator"
Pre Seed Round - Anima,https://www.crunchbase.com/funding_round/anima-a04f-pre-seed--ffe7295d,Anima,https://www.crunchbase.com/organization/anima-a04f,Pre-Seed,125000,USD,125000,2021-03-23,,,,Anima is a tech-enabled provider of healthcare triage.,"Health Care, Medical, mHealth, Mobile Apps","London, England, United Kingdom, Europe",https://www.animahealth.com/,,Seed,Y Combinator
Seed Round - Flux,https://www.crunchbase.com/funding_round/flux-6522-seed--5bba2475,Flux,https://www.crunchbase.com/organization/flux-6522,Seed,125000,USD,125000,2021-03-23,,,,"Flux is a mobile app that lets you send money, receive money, make and accept payments across Africa.","Apps, Payments","Yaba, Lagos, Nigeria, Africa",https://iflux.app/,,Seed,Y Combinator
Seed Round - Flextock,https://www.crunchbase.com/funding_round/flextock-seed--f028f6c0,Flextock,https://www.crunchbase.com/organization/flextock,Seed,125000,USD,125000,2021-03-23,,,,Flextock is a provider of on-demand warehousing and logistics platform to help businesses efficiently scale their operations.,"E-Commerce, Logistics, Supply Chain Management, Warehousing","Cairo, Al Qahirah, Egypt, Africa",https://www.flextock.com/,,Seed,Y Combinator
