,Parent Company,Child Company,Child Description,split
0,Y Combinator,Abacum,"Our funding stage is Seed. Abacum is a SaaS that helps finance teams deliver business insights. Located in San Francisco, California, United States, North America. Involved in the following industries: Information Technology, SaaS, Software Our current investors include Avi Meir, Creandum, Jenny Bloom, Justin Kan, K Fund, Maximilian Tayenthal, Mike Asher, PROfounders Capital, Thomas Lehrman, Y Combinator. Funding amount (USD) so far is 7000000.0.",-0.5927916947188386
1,Y Combinator,CrowdAI,"Our funding stage is Series A. CrowdAI empowers organizations to create and deploy custom models for visual AI, in a simple, code-free platform. Located in San Francisco, California, United States, North America. Involved in the following industries: Artificial Intelligence, Computer Vision, Geospatial, Image Recognition, Machine Learning Our current investors include Jerry Yang, Susa Ventures, SV Angel, Threshold, Y Combinator. Funding amount (USD) so far is 6250000.0.",-0.8440779140608734
2,Y Combinator,CaptivateIQ,"Our funding stage is Series B. CaptivateIQ is a modern sales compensation software aimed to help businesses leverage the power of incentives to motivate teams. Located in San Francisco, California, United States, North America. Involved in the following industries: Internet, Sales, Software Our current investors include Accel, Amity Ventures, S28 Capital, Sequoia Capital, Y Combinator. Funding amount (USD) so far is 46000000.0.",0.4203741011485178
3,Y Combinator,ZOKO,"Our funding stage is Seed. ZOKO connects business to Whatsapp and Facebook Messenger for sending notifications, marketing and conversational commerce. Located in Bengaluru, Karnataka, India, Asia. Involved in the following industries: E-Commerce, Information Technology, Software Our current investors include 021 Capital, Anas Rahman Junaid, Weekend Fund, Y Combinator. Funding amount (USD) so far is 1393371.0.",0.9429878436161717
4,Y Combinator,Kredi,"Our funding stage is Seed. Rocket Mortgage for LatAm Located in Monterrey, Nuevo Leon, Mexico, North America. Involved in the following industries: Financial Services, FinTech Our current investors include Angel Investor, Emles Venture Partners, First Check Ventures, Harvard Management Company, Jonathan Lewy, Leonis Investissement, Liquid 2 Ventures, Louis Beryl, Y Combinator. Funding amount (USD) so far is 3000000.0.",-1.1853836252961027
5,Y Combinator,Tyltgo,"Our funding stage is Seed. Tyltgo provides courier, logistics, supply chain management, and delivery services for small businesses and enterprises. Located in Kitchener, Ontario, Canada, North America. Involved in the following industries: Delivery Service, Logistics, Supply Chain Management Our current investors include Charlie Songhurst, TI Platform Management, Y Combinator. Funding amount (USD) so far is 1826545.0.",-0.848613399136046
6,Y Combinator,Homebase,"Our funding stage is Seed. Homebase is a real estate technology company that provides innovative rent-to-own home financing for buyers in Southeast Asia, starting with Vietnam. Homebase offers the only alternative to inflexible, high-interest rate mortgages in the region. Located in Singapore, Central Region, Singapore, Asia. Involved in the following industries: unknown Our current investors include Y Combinator. Funding amount (USD) so far is 125000.0.",-1.1576760321727089
7,Y Combinator,Middesk,"Our funding stage is Series A. A modern infrastructure to establish trust between every business. Located in San Francisco, California, United States, North America. Involved in the following industries: Information Technology, Internet, Risk Management Our current investors include Accel, Sequoia Capital, Y Combinator. Funding amount (USD) so far is 16000000.0.",0.18508881195695953
8,Y Combinator,Prospa,"Our funding stage is Seed. Prospa is building a neobank for small companies in Nigeria. Located in Lagos, Lagos, Nigeria, Africa. Involved in the following industries: Apps, Banking Our current investors include Y Combinator. Funding amount (USD) so far is 125000.0.",-0.6553175049291757
9,Y Combinator,Sendbox,"Our funding stage is Seed. Infrastructure for peer-to-peer social commerce Located in Lagos, Lagos, Nigeria, Africa. Involved in the following industries: E-Commerce, E-Commerce Platforms, Shipping Our current investors include Y Combinator. Funding amount (USD) so far is 125000.0.",1.7838751240795534
10,Y Combinator,Asher Bio,"Our funding stage is Series A. Asher Bio is a biotechnology company that specializes in the fields of therapeutics builds better immunotherapy for cancer. Located in San Francisco, California, United States, North America. Involved in the following industries: Biotechnology, Therapeutics Our current investors include Boxer Capital, Invus, MBC BioLabs, Third Rock Ventures, Y Combinator. Funding amount (USD) so far is 55000000.0.",0.4287899875499754
12,Y Combinator,Flux,"Our funding stage is Seed. Flux is a mobile app that lets you send money, receive money, make and accept payments across Africa. Located in Yaba, Lagos, Nigeria, Africa. Involved in the following industries: Apps, Payments Our current investors include Y Combinator. Funding amount (USD) so far is 125000.0.",3.9107074156094597
14,Y Combinator,VendEase,"Our funding stage is Seed. VendEase is a marketplace that lets restaurants in Africa, order directly from farms and food manufacturers. Located in Lagos, Lagos, Nigeria, Africa. Involved in the following industries: E-Commerce, Food and Beverage Our current investors include Y Combinator. Funding amount (USD) so far is 125000.0.",-0.2661072784122622
15,Y Combinator,Rio Grande,"Our funding stage is Seed. We buy and grow D2C brands in LatAm Located in Mexico City, Distrito Federal, Mexico, North America. Involved in the following industries: Consumer Goods, E-Commerce Our current investors include Jaguar Ventures, Y Combinator. Funding amount (USD) so far is unknown.",0.15572624381678565
16,Y Combinator,Neverland,"Our funding stage is Seed. Neverland is the first online home garden and lawn marketplace. Located in San Francisco, California, United States, North America. Involved in the following industries: unknown Our current investors include Y Combinator. Funding amount (USD) so far is unknown.",-0.35506437799619667
17,Y Combinator,MagicBell,"Our funding stage is Seed. MagicBell is a cloud-based notification inbox for product management. Located in Walnut, California, United States, North America. Involved in the following industries: unknown Our current investors include Y Combinator. Funding amount (USD) so far is unknown.",-1.6554228808144253
19,Y Combinator,Afriex,"Our funding stage is Seed. Afriex is a pioneering platform that allows its users to send and receive money to anybody around the globe. Located in Oakland, California, United States, North America. Involved in the following industries: Finance, Financial Exchanges, Financial Services, Information Technology Our current investors include A$AP Capital, Andrea Vaccari, Brightstone Venture Capital, Furqan Rydhan, Future Africa, Ivernet Holding SAPI de CV, Launch Africa, Mandela Schumacher-Hodge Dixon, Precursor Ventures, Processus Capital, Russell Smith, SB Opportunity Fund, Uncommon Ventures, Y Combinator. Funding amount (USD) so far is 1200000.0.",2.2244433707944147
20,Y Combinator,NextPay,"Our funding stage is Pre-Seed. NextPay is a digital banking platform for small businesses and entrepreneurs. Located in Makati, Manila, Philippines, Asia. Involved in the following industries: Financial Services, Payments Our current investors include Y Combinator. Funding amount (USD) so far is 125000.0.",0.6933861640569916
21,Y Combinator,Clicoh,"Our funding stage is Seed. Clicoh is a startup that provides fulfillment solutions through innovation and technology for digital companies in Latam. Located in Córdoba, Cordoba, Argentina, South America. Involved in the following industries: Delivery Service, Logistics, Mobile Apps, Transportation Our current investors include Y Combinator. Funding amount (USD) so far is unknown.",0.9113904609259678
22,Y Combinator,Spline,"Our funding stage is Seed. A 3d design tool for the web, without coding. Located in Middletown, Delaware, United States, North America. Involved in the following industries: unknown Our current investors include Chapter One Ventures, NXTP Ventures, Y Combinator. Funding amount (USD) so far is unknown.",0.7622820486152508
23,Y Combinator,AgendaPro,"Our funding stage is Seed. Shopify for Beauty and Wellness business in Latam. We allow business owners to charge their customers online and easily schedule appointments. Located in Santiago, Region Metropolitana, Chile, South America. Involved in the following industries: Beauty, Internet, SaaS, Wellness Our current investors include Y Combinator. Funding amount (USD) so far is unknown.",-1.0701430992178773
24,Y Combinator,Bimaplan,"Our funding stage is Seed. Affordable Insurance for the next billion Indians Located in Bangalore, Karnataka, India, Asia. Involved in the following industries: Financial Services, Insurance Our current investors include 2 AM Ventures, Abhishek Rungta, Anupam Mittal, FinSight Ventures, Jitendra Gupta, Kunal Shah, Nimesh Kampani, Nisarg Shah, Pallav Nadhani, Rajesh Sawhney, Ramakant Sharma, RaSa Future Fund, Ritesh Malik, Roshan Abbas, Shanti Mohan, Titan Capital, Y Combinator, Yash Jain. Funding amount (USD) so far is 500000.0.",-0.002325660797363309
26,Y Combinator,Flowspace,"Our funding stage is Series B. Flowspace offers an on-demand warehousing and fulfillment network. Located in Los Angeles, California, United States, North America. Involved in the following industries: Logistics, Supply Chain Management, Warehousing Our current investors include 1984 Ventures, BuildGroup, Canvas Ventures, eGateway Capital, Industrious Ventures, Moment Ventures, Y Combinator. Funding amount (USD) so far is 31000000.0.",1.8164904220231695
27,Y Combinator,Fondeadora,"Our funding stage is Series A. Fondeadora is a digital banking services company that aims to eliminate the inefficiencies related to the traditional banking system. Located in Mexico City, Distrito Federal, Mexico, North America. Involved in the following industries: Banking, Crowdfunding, Crowdsourcing, Debit Cards, Financial Services, FinTech, Internet Our current investors include FinTech Collective, Gokul Rajaram, Gradient Ventures, IGNIA, Portag3 Ventures, Scott Belsky, Sound Ventures, Y Combinator. Funding amount (USD) so far is 14000000.0.",-1.1277369011115772
28,Y Combinator,Blink Last Mile,"Our funding stage is Pre-Seed. Blink Last Mile is a Sustainable same-day delivery for e-commerce companies in Europe Located in Milano, Lombardia, Italy, Europe. Involved in the following industries: Delivery, E-Commerce, Logistics, Same Day Delivery, Warehousing Our current investors include Y Combinator. Funding amount (USD) so far is unknown.",-0.5108301944960403
